nr	P	Pdb	h	a	a_occ	R	time	R_ref
#iterations=10 pstart=0 pend=2 pnum=200 L=4 Ku=4 time_scale=100
0	 1.00	 0.00	std	[-0.  0. -1.  0.]	3	 0.56	 0.44	 0.25
				[ 0. -1. -0. -0.]	2			
				[ 0.  1. -0. -0.]	1			
				[-1. -0. -0.  0.]	1			
				[ 0.  0.  0. -1.]	1			
				[ 0. -0.  1.  0.]	1			
				[-0.  1.  0. -1.]	1			
1	 1.02	 0.10	std	[-0. -1.  0.  0.]	6	 0.53	 0.41	 0.36
				[-0. -0. -1. -0.]	1			
				[ 0.  0.  0.  1.]	1			
				[ 0.  1.  0. -0.]	1			
				[-0.  0.  1.  0.]	1			
2	 1.05	 0.20	std	[ 0. -0. -1. -0.]	2	 0.43	 0.42	 0.18
				[ 1. -0.  0. -0.]	2			
				[-0.  1.  0.  0.]	2			
				[ 0. -0.  0. -1.]	2			
				[ 0. -1. -0. -0.]	1			
				[ 0.  0. -0.  1.]	1			
3	 1.07	 0.30	std	[-1.  0.  0. -0.]	3	 0.50	 0.39	 0.28
				[-0. -1. -0. -0.]	2			
				[ 0.  0. -1.  0.]	2			
				[-0.  0. -0.  1.]	1			
				[ 1.  1. -0.  0.]	1			
				[ 1. -1. -1.  1.]	1			
4	 1.10	 0.40	std	[ 1.  0.  0.  0.]	3	 0.57	 0.41	 0.32
				[ 0.  1.  0.  0.]	2			
				[-1. -1.  0.  0.]	1			
				[-0. -0. -1. -0.]	1			
				[ 0.  0. -0. -1.]	1			
				[ 0.  0.  1. -0.]	1			
				[ 0. -1. -0. -0.]	1			
5	 1.12	 0.50	std	[ 0. -0.  0. -1.]	2	 0.43	 1.68	 0.16
				[ 0.  1. -0.  0.]	2			
				[-0.  0.  1. -1.]	1			
				[ 0. -1. -0. -1.]	1			
				[ 1. -0.  0. -0.]	1			
				[ 1.  0.  1. -0.]	1			
				[ 0. -1.  0.  0.]	1			
				[-1.  0.  1. -0.]	1			
6	 1.15	 0.60	std	[ 1.  0. -0. -0.]	2	 0.53	 2.71	 0.24
				[ 0. -1.  0.  0.]	2			
				[-1. -1.  0. -0.]	1			
				[ 0.  0.  1. -1.]	1			
				[-1.  0.  0.  0.]	1			
				[-0. -0. -0.  1.]	1			
				[ 0.  0. -1. -1.]	1			
				[ 0.  0. -1.  0.]	1			
7	 1.18	 0.70	std	[ 1.  0.  0. -0.]	3	 0.48	 0.30	 0.23
				[-0.  0. -1. -0.]	3			
				[-0. -0.  1. -0.]	1			
				[ 1.  0.  1. -0.]	1			
				[-1.  0.  0. -1.]	1			
				[-1. -0. -0.  0.]	1			
8	 1.20	 0.80	std	[ 0. -1. -0.  0.]	2	 0.64	 2.64	 0.28
				[ 0.  1.  0.  0.]	2			
				[-1.  1. -0. -0.]	1			
				[-0. -0. -1. -0.]	1			
				[ 1.  1. -0. -0.]	1			
				[ 0.  0.  0. -1.]	1			
				[-1. -0. -0. -0.]	1			
				[ 0. -0.  0.  1.]	1			
9	 1.23	 0.90	std	[-0.  1.  0.  0.]	3	 0.57	 0.52	 0.24
				[-0. -0.  1. -0.]	2			
				[ 0.  0. -0.  1.]	2			
				[-1.  1. -0.  0.]	1			
				[-0.  0. -1. -0.]	1			
				[ 1.  0. -1. -0.]	1			
10	 1.26	 1.01	std	[-0.  0. -1.  0.]	2	 0.58	 0.32	 0.23
				[-1.  0.  0.  0.]	2			
				[ 0.  0. -0.  1.]	2			
				[ 1.  0.  0. -0.]	1			
				[ 0. -0. -0. -1.]	1			
				[ 0. -0.  1.  0.]	1			
				[-0. -1.  0.  0.]	1			
11	 1.29	 1.11	std	[-0. -1.  0. -0.]	3	 0.54	 0.47	 0.22
				[ 0.  0.  1.  0.]	3			
				[ 0.  0. -0.  1.]	1			
				[-1. -0.  0.  0.]	1			
				[ 0.  1.  0.  0.]	1			
				[ 1. -1.  0.  0.]	1			
12	 1.32	 1.21	std	[-0.  0. -1.  0.]	2	 0.56	 0.29	 0.30
				[-0.  0.  0.  1.]	2			
				[ 1.  1. -1. -0.]	1			
				[-0. -1. -1.  0.]	1			
				[ 0.  1.  0.  0.]	1			
				[ 1. -0. -0.  0.]	1			
				[-1. -0.  0.  0.]	1			
				[-0. -1.  1.  1.]	1			
13	 1.35	 1.31	std	[ 0.  0.  0.  1.]	2	 0.59	 0.30	 0.31
				[-1. -0. -0. -0.]	2			
				[-0.  0. -1. -0.]	2			
				[-0.  0.  0. -1.]	1			
				[ 1.  0. -0.  1.]	1			
				[-1.  1.  0.  0.]	1			
				[ 0. -0.  1. -0.]	1			
14	 1.38	 1.41	std	[ 1.  0.  0. -0.]	2	 0.60	 0.32	 0.32
				[-1.  0.  0.  1.]	1			
				[-0. -1.  0.  0.]	1			
				[ 1. -1.  1. -1.]	1			
				[ 0. -0.  0.  1.]	1			
				[-1.  0. -0. -0.]	1			
				[-0. -0.  1. -0.]	1			
				[ 0.  1.  0. -1.]	1			
				[ 1. -1. -0.  1.]	1			
15	 1.41	 1.51	std	[-0. -0.  1.  0.]	1	 0.59	 0.32	 0.14
				[ 0. -1. -0.  0.]	1			
				[ 0.  1.  0.  1.]	1			
				[-0.  1.  0. -0.]	1			
				[-1. -1.  0.  0.]	1			
				[-1.  0.  1.  0.]	1			
				[ 0.  0. -1.  0.]	1			
				[ 0. -0.  0.  1.]	1			
				[-0. -0. -0. -1.]	1			
				[ 1. -0. -0. -0.]	1			
16	 1.45	 1.61	std	[-0.  1.  0. -0.]	2	 0.54	 0.30	 0.23
				[-0. -0.  0.  1.]	2			
				[-0.  1.  1.  0.]	1			
				[-1. -1. -0. -0.]	1			
				[ 0.  0. -1.  0.]	1			
				[-0. -1. -0. -0.]	1			
				[ 1. -0. -1. -0.]	1			
				[-1. -0.  1. -0.]	1			
17	 1.48	 1.71	std	[ 0.  0. -0.  1.]	3	 0.72	 0.34	 0.49
				[-0.  0. -0. -1.]	3			
				[ 1. -1. -0. -0.]	1			
				[ 0. -1. -1. -0.]	1			
				[-0. -1.  0. -0.]	1			
				[ 0.  1.  0.  0.]	1			
18	 1.52	 1.81	std	[-0.  1.  0. -0.]	2	 0.55	 0.33	 0.23
				[ 0. -0. -1. -0.]	2			
				[ 0.  0. -1. -1.]	1			
